
> dev
> next dev

▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.0.0.178:3000
- Environments: .env.local
✓ Ready in 291ms
✓ Running next.config.ts took 21ms
- Cache Components enabled

 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 27ms (next.js: 3ms, proxy.ts: 3ms, application-code: 20ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 3ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 30ms (next.js: 5ms, proxy.ts: 5ms, application-code: 21ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 18ms (next.js: 4ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 34ms (next.js: 5ms, proxy.ts: 3ms, application-code: 26ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 26ms (next.js: 3ms, proxy.ts: 4ms, application-code: 19ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 3ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 3ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 3ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 23ms (next.js: 3ms, proxy.ts: 4ms, application-code: 15ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 3ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 30ms (next.js: 4ms, proxy.ts: 4ms, application-code: 22ms)
 POST /api/games 201 in 47ms (next.js: 26ms, proxy.ts: 3ms, application-code: 18ms)
 GET /game/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 26ms (next.js: 5ms, proxy.ts: 3ms, generate-params: 1.3ms, application-code: 17ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 21ms (next.js: 4ms, proxy.ts: 4ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 2ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 32ms (next.js: 4ms, proxy.ts: 2ms, application-code: 27ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 1.9ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 24ms (next.js: 5ms, proxy.ts: 5ms, application-code: 14ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 2ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 18ms (next.js: 3ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 18ms (next.js: 2ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 16ms (next.js: 3ms, proxy.ts: 2ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 2ms, proxy.ts: 3ms, application-code: 12ms)
 GET /join/rq_YlZSdA_WMA2_R0l1P_XOrBgH-aT53hhS4_gG_RBU 200 in 272ms (next.js: 17ms, proxy.ts: 2ms, generate-params: 235ms, application-code: 17ms)
 GET /api/me 200 in 47ms (next.js: 3ms, proxy.ts: 6ms, application-code: 38ms)
 GET /api/me 200 in 11ms (next.js: 1.0ms, proxy.ts: 1.9ms, application-code: 8ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 23ms (next.js: 3ms, proxy.ts: 3ms, application-code: 17ms)
 GET /api/invites/rq_YlZSdA_WMA2_R0l1P_XOrBgH-aT53hhS4_gG_RBU 200 in 586ms (next.js: 563ms, proxy.ts: 6ms, application-code: 17ms)
 GET /api/invites/rq_YlZSdA_WMA2_R0l1P_XOrBgH-aT53hhS4_gG_RBU 200 in 23ms (next.js: 5ms, proxy.ts: 3ms, application-code: 16ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 2ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 26ms (next.js: 3ms, proxy.ts: 3ms, application-code: 19ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 1.9ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 14ms (next.js: 3ms, proxy.ts: 2.0ms, application-code: 10ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 14ms (next.js: 2ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 2ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 19ms (next.js: 4ms, proxy.ts: 3ms, application-code: 13ms)
 POST /api/invites/rq_YlZSdA_WMA2_R0l1P_XOrBgH-aT53hhS4_gG_RBU/join 200 in 530ms (next.js: 484ms, proxy.ts: 4ms, application-code: 43ms)
 GET /game/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 25ms (next.js: 3ms, proxy.ts: 3ms, generate-params: 1.5ms, application-code: 18ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 27ms (next.js: 3ms, proxy.ts: 5ms, application-code: 19ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 29ms (next.js: 7ms, proxy.ts: 6ms, application-code: 17ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 17ms (next.js: 1.6ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 2ms, proxy.ts: 1.8ms, application-code: 12ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 20ms (next.js: 3ms, proxy.ts: 2ms, application-code: 15ms)
 GET /api/games/f88df138-f8d7-4013-a93e-e7f44ade6f28 200 in 16ms (next.js: 2.0ms, proxy.ts: 3ms, application-code: 11ms)
